"bibjson.end_page","bibjson.year","bibjson.journal.volume","bibjson.journal.number","bibjson.month","bibjson.start_page","id","_version_","last_updated","bibjson.identifier.id","bibjson.identifier.type","bibjson.keywords","bibjson.subject.code","bibjson.subject.scheme","bibjson.subject.term","bibjson.author.name","bibjson.link.content_type","bibjson.link.type","bibjson.link.url","bibjson.abstract","bibjson.title","bibjson.journal.country","bibjson.journal.license.open_access","bibjson.journal.license.title","bibjson.journal.license.type","bibjson.journal.license.url","bibjson.journal.issns","bibjson.journal.publisher","bibjson.journal.language","bibjson.journal.title","created_date","bibjson.author.affiliation","admin.seal","bibjson.author.orcid_id"
,2012,"2012",,,,"aae4e0e871784ce3a55cf3ec19753018",1669316142583250940,"2020-02-03T16:32:06","2090-3057","pissn",,"RC109-216","LCC","Infectious and parasitic diseases","Gerard Kian-Meng Goh",,"fulltext","http://dx.doi.org/10.1155/2012/738590","Besides being a common threat to farm animals and poultry, coronavirus (CoV) was responsible for the human severe acute respiratory syndrome (SARS) epidemic in 2002–4. However, many aspects of CoV behavior, including modes of its transmission, are yet to be fully understood. We show that the amount and the peculiarities of distribution of the protein intrinsic disorder in the viral shell can be used for the efficient analysis of the behavior and transmission modes of CoV. The proposed model allows categorization of the various CoVs by the peculiarities of disorder distribution in their membrane (M) and nucleocapsid (N). This categorization enables quick identification of viruses with similar behaviors in transmission, regardless of genetic proximity. Based on this analysis, an empirical model for predicting the viral transmission behavior is developed. This model is able to explain some behavioral aspects of important coronaviruses that previously were not fully understood. The new predictor can be a useful tool for better epidemiological, clinical, and structural understanding of behavior of both newly emerging viruses and viruses that have been known for a long time. A potentially new vaccine strategy could involve searches for viral strains that are characterized by the evolutionary misfit between the peculiarities of the disorder distribution in their shells and their behavior.","Understanding Viral Transmission Behavior via Protein Intrinsic Disorder Prediction: Coronaviruses","GB",1,"CC BY","CC BY","https://www.hindawi.com/journals/jpath/guidelines/","2090-3057","Hindawi Limited","EN","Journal of Pathogens","2012-11-13T13:45:53","Center for Computational Biology and Bioinformatics, Indiana University School of Medicine, Indianapolis, IN 46202, USA",1,
"11",2018,"8","1","10","1","dc2eb990e1334c749f38f36a60836653",1669317539612590080,"2020-02-04T20:57:05","10.1038/s41598-018-33487-8","doi",,"R","LCC","Medicine","Doreen Muth","HTML","fulltext","http://link.springer.com/article/10.1038/s41598-018-33487-8","Abstract A 29 nucleotide deletion in open reading frame 8 (ORF8) is the most obvious genetic change in severe acute respiratory syndrome coronavirus (SARS-CoV) during its emergence in humans. In spite of intense study, it remains unclear whether the deletion actually reflects adaptation to humans. Here we engineered full, partially deleted (?29?nt), and fully deleted ORF8 into a SARS-CoV infectious cDNA clone, strain Frankfurt-1. Replication of the resulting viruses was compared in primate cell cultures as well as Rhinolophus bat cells made permissive for SARS-CoV replication by lentiviral transduction of the human angiotensin-converting enzyme 2 receptor. Cells from cotton rat, goat, and sheep provided control scenarios that represent host systems in which SARS-CoV is neither endemic nor epidemic. Independent of the cell system, the truncation of ORF8 (29?nt deletion) decreased replication up to 23-fold. The effect was independent of the type I interferon response. The 29?nt deletion in SARS-CoV is a deleterious mutation acquired along the initial human-to-human transmission chain. The resulting loss of fitness may be due to a founder effect, which has rarely been documented in processes of viral emergence. These results have important implications for the retrospective assessment of the threat posed by SARS.","Attenuation of replication by a 29 nucleotide deletion in SARS-coronavirus acquired during the early stages of human-to-human transmission","GB",1,"CC BY","CC BY","https://www.nature.com/srep/about/open-access","2045-2322","Nature Publishing Group","EN","Scientific Reports","2018-10-14T12:45:13","Charité-Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Institute of Virology",1,
,2018,"13","3","0","e0193682","852720903c504554a09bd263e2f2ac94",1669317105725472770,"2020-02-04T15:09:47","1932-6203","eissn",,"R","LCC","Medicine","Thomas Bruun Rasmussen",,"fulltext","http://europepmc.org/articles/PMC5832266?pdf=render","Porcine epidemic diarrhoea virus, strain CV777, was initially characterized in 1978 as the causative agent of a disease first identified in the UK in 1971. This coronavirus has been widely distributed among laboratories and has been passaged both within pigs and in cell culture. To determine the variability between different stocks of the PEDV strain CV777, sequencing of the full-length genome (ca. 28kb) has been performed in 6 different laboratories, using different protocols. Not surprisingly, each of the different full genome sequences were distinct from each other and from the reference sequence (Accession number AF353511) but they are >99% identical. Unique and shared differences between sequences were identified. The coding region for the surface-exposed spike protein showed the highest proportion of variability including both point mutations and small deletions. The predicted expression of the ORF3 gene product was more dramatically affected in three different variants of this virus through either loss of the initiation codon or gain of a premature termination codon. The genome of one isolate had a substantially rearranged 5´-terminal sequence. This rearrangement was validated through the analysis of sub-genomic mRNAs from infected cells. It is clearly important to know the features of the specific sample of CV777 being used for experimental studies.","Full-length genome sequences of porcine epidemic diarrhoea virus strain CV777; Use of NGS to analyse genomic and sub-genomic RNAs.","US",1,"CC BY","CC BY","http://journals.plos.org/plosone/s/content-license","1932-6203","Public Library of Science (PLoS)","EN","PLoS ONE","2018-06-27T05:48:51",,1,
"1638",2017,"24","7","11","1631","0c6865361e594390adfbf9519822fb05",1669316598320594940,"2020-02-04T05:19:50","1319-562X","pissn","MERS-CoV","QH301-705.5","LCC","Biology (General)","Saleh A. Eifan",,"fulltext","http://www.sciencedirect.com/science/article/pii/S1319562X1730150X","Since the initial emergence of Middle East respiratory syndrome coronavirus (MERS-CoV) in 2012, a high incidence rate has been observed in Saudi Arabia. This suggests that the country is at continuous risk. The epidemic level of MERS-CoV infection was examined in Saudi Arabia by the Susceptible-Infectious-Recovered (SIR) model using a Bayesian approach for estimation of time dependent reproduction number (R) across a two-year interval (May, 2013-May, 2015) in five defined clusters, followed by sensitivity analysis of the most significant clusters. Significant MERS-CoV peaks were detected in the period between March and May of each year. Moreover, MERS-CoV infection was highlighted in western (40.8%) and central (31.9%) regions, followed by eastern region (20%). The temporal-based Bayesian approach indicated a sub-critical epidemic in all regions in the baseline scenario (R: 0.85–0.97). However, R potential limit was exceeded in the sensitivity analysis scenario in only central and western regions (R: 1.08–1.12) that denoted epidemic level in those regions. The impact of sporadic cases was found relatively insignificant and pinpointed to the lack of zoonotic influence on MERS-CoV transmission dynamics. The results of current study would be helpful for evaluation of future progression of MERS-CoV infections, better understanding and control interventions.","A pandemic risk assessment of middle east respiratory syndrome coronavirus (MERS-CoV) in Saudi Arabia","SA",1,"CC BY-NC-ND","CC BY-NC-ND","http://www.elsevier.com/journals/saudi-journal-of-biological-sciences/1319-562X/guide-for-authors#13361","1319-562X","Elsevier","EN","Saudi Journal of Biological Sciences","2017-10-27T03:45:43","Botany and Microbiology Department, Faculty of Science, King Saud University, Riyadh, Saudi Arabia",,
"5",2011,"2","1","03","1","aa288602b825417f859e009e911e3fd4",1669314741383725060,"2020-02-04T04:15:57","10.5365/wpsar.2011.2.1.006","doi","emerging infectious diseases","R","LCC","Medicine","John S Mackenzie",,"fulltext","http://ojs.wpro.who.int/ojs/index.php/wpsar/article/view/110/13","Over the past two decades, increasing concern and attention have been directed at the potential problems and threats associated with new and emerging diseases. This has been driven by fears arising from the rapid emergence, spread and the public health impact of a number of recent outbreaks, such as the international spread of severe acute respiratory syndrome coronavirus (SARS-CoV)  (2003), the potential of avian influenza H5N1 to emerge as a highly lethal pandemic as increasing numbers of human cases are reported (2003 and continuing), and the very rapid global spread of pandemic H1N1 influenza in 2009-10. The emergence of SARS-CoV, in particular, demonstrated the considerable economic, political and psychological effects – in addition to the impact on public health – of an unexpected epidemic of a highly infectious, previously unknown agent in a highly connected and interdependent world. These examples clearly highlight the necessity and importance of global outbreak surveillance for the early detection and response to new potential threats. They also demonstrate clearly that these emergent diseases can move rapidly between countries and continents through infected travellers, so that surveillance needs to be transparent and authorities aware of international disease events elsewhere around the globe. Some of the specific threats to the Asian Pacific regions have been reviewed elsewhere.","Responding to emerging diseases: reducing the risks through understanding the mechanisms of emergence","PH",1,"CC BY","CC BY","http://ojs.wpro.who.int/ojs/index.php/wpsar/about/submissions#copyrightNotice","2094-7313","World Health Organization","EN","Western Pacific Surveillance and Response","2011-08-03T04:28:02",,,
"473",2012,"55","12","12","470","2293e68399484020b16ba53c6233eed1",1669315173076172800,"2020-02-04T03:42:52","1738-1061","pissn","Coronary aneurysm","RJ1-570","LCC","Pediatrics","Ja Hye Kim","pdf","fulltext","http://kjp.or.kr/upload/pdf/kjped-55-470.pdf","PurposeThe purpose of this prospective case-control study was to survey the detection rate of respiratory viruses in children with Kawasaki disease (KD) by using multiplex reverse transcriptase-polymerase chain reaction (RT-PCR), and to investigate the clinical implications of the prevalence of respiratory viruses during the acute phase of KD.MethodsRT-PCR assays were carried out to screen for the presence of respiratory syncytial virus A and B, adenovirus, rhinovirus, parainfluenza viruses 1 to 4, influenza virus A and B, metapneumovirus, bocavirus, coronavirus OC43/229E and NL63, and enterovirus in nasopharyngeal secretions of 55 KD patients and 78 control subjects.ResultsVirus detection rates in KD patients and control subjects were 32.7% and 30.8%, respectively (P=0.811). However, there was no significant association between the presence of any of the 15 viruses and the incidence of KD. Comparisons between the 18 patients with positive RT-PCR results and the other 37 KD patients revealed no significant differences in terms of clinical findings (including the prevalence of incomplete presentation of the disease) and coronary artery diameter.ConclusionA positive RT-PCR for currently epidemic respiratory viruses should not be used as an evidence against the diagnosis of KD. These viruses were not associated with the incomplete presentation of KD and coronary artery dilatation.","Detection rate and clinical impact of respiratory viruses in children with Kawasaki disease","KR",1,"CC BY-NC-ND","CC BY-NC-ND","http://kjp.or.kr/authors/access.php","1738-1061","Korean Pediatric Society","EN","Korean Journal of Pediatrics","2013-12-10T05:47:46","Department of Pediatrics, University of Ulsan College of Medicine, Seoul, Korea.",,
"255",2018,"62","3","10","249","419bd522ff11463cb6795a0b31a64552",1669315460208787460,"2020-02-04T05:38:17","2450-8608","eissn","wild birds","SF600-1100","LCC","Veterinary medicine","Mi?ek Justyna",,"fulltext","http://www.degruyter.com/view/j/jvetres.2018.62.issue-3/jvetres-2018-0035/jvetres-2018-0035.xml?format=INT","Coronaviruses (CoVs) are a large group of enveloped viruses with a single-strand RNA genome, which continuously circulate in mammals and birds and pose a threat to livestock, companion animals, and humans. CoVs harboured by avian species are classified to the genera gamma- and deltacoronaviruses. Within the gamma-CoVs the main representative is avian coronavirus, a taxonomic name which includes the highly contagious infectious bronchitis viruses (IBVs) in chickens and similar viruses infecting other domestic birds such as turkeys, guinea fowls, or quails. Additionally, IBVs have been detected in healthy wild birds, demonstrating that they may act as the vector between domestic and free-living birds. Moreover, CoVs other than IBVs, are identified in wild birds, which suggests that wild birds play a key role in the epidemiology of other gammaCoVs and deltaCoVs. Development of molecular techniques has significantly improved knowledge of the prevalence of CoVs in avian species. The methods adopted in monitoring studies of CoVs in different avian species are mainly based on detection of conservative regions within the viral replicase, nucleocapsid genes, and 3’UTR or 5’UTR. The purpose of this review is to summarise recent discoveries in the areas of epidemiology and diagnosis of CoVs in avian species and to understand the role of wild birds in the virus distribution.","Coronaviruses in avian species – review with focus on epidemiology and diagnosis in wild birds","PL",1,"CC BY-NC-ND","CC BY-NC-ND","https://www.degruyter.com/view/supplement/s24508608_Open_Access_License.pdf","2450-8608","Sciendo","EN","Journal of Veterinary Research","2018-11-03T05:42:01","Department of Poultry Diseases, National Veterinary Research Institute, 24-100Pu?awy, Poland",,
,2016,"8","12","12","331","b492bc168f444d9db1b1491103a14acb",1669314338909847550,"2020-02-03T22:07:09","1999-4915","eissn","Griffithsin","QR1-502","LCC","Microbiology","Christopher Barton","pdf","fulltext","http://www.mdpi.com/1999-4915/8/12/331","Griffithsin (GRFT) is a red alga-derived lectin with demonstrated broad spectrum antiviral activity against enveloped viruses, including severe acute respiratory syndrome–Coronavirus (SARS-CoV), Japanese encephalitis virus (JEV), hepatitis C virus (HCV), and herpes simplex virus-2 (HSV-2). However, its pharmacokinetic profile remains largely undefined. Here, Sprague Dawley rats were administered a single dose of GRFT at 10 or 20 mg/kg by intravenous, oral, and subcutaneous routes, respectively, and serum GRFT levels were measured at select time points. In addition, the potential for systemic accumulation after oral dosing was assessed in rats after 10 daily treatments with GRFT (20 or 40 mg/kg). We found that parenterally-administered GRFT in rats displayed a complex elimination profile, which varied according to administration routes. However, GRFT was not orally bioavailable, even after chronic treatment. Nonetheless, active GRFT capable of neutralizing HIV-Env pseudoviruses was detected in rat fecal extracts after chronic oral dosing. These findings support further evaluation of GRFT for pre-exposure prophylaxis against emerging epidemics for which specific therapeutics are not available, including systemic and enteric infections caused by susceptible enveloped viruses. In addition, GRFT should be considered for antiviral therapy and the prevention of rectal transmission of HIV-1 and other susceptible viruses.","Pharmacokinetics of the Antiviral Lectin Griffithsin Administered by Different Routes Indicates Multiple Potential Uses","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/viruses/about","1999-4915","MDPI AG","EN","Viruses","2016-12-23T21:06:41","Department of Pharmacology and Toxicology, University of Louisville School of Medicine, Louisville, KY 40202, USA",1,
,2013,"8","4","0","e62416","2e44fbc6a76240c19324067d117af7e4",1669318678510829570,"2020-02-04T16:49:01","1932-6203","eissn",,"R","LCC","Medicine","Andrew R Jauregui",,"fulltext","http://europepmc.org/articles/PMC3639174?pdf=render","An epidemic of Severe Acute Respiratory Syndrome (SARS) led to the identification of an associated coronavirus, SARS-CoV. This virus evades the host innate immune response in part through the expression of its non-structural protein (nsp) 1, which inhibits both host gene expression and virus- and interferon (IFN)-dependent signaling. Thus, nsp1 is a promising target for drugs, as inhibition of nsp1 would make SARS-CoV more susceptible to the host antiviral defenses. To gain a better understanding of nsp1 mode of action, we generated and analyzed 38 mutants of the SARS-CoV nsp1, targeting 62 solvent exposed residues out of the 180 amino acid protein. From this work, we identified six classes of mutants that abolished, attenuated or increased nsp1 inhibition of host gene expression and/or antiviral signaling. Each class of mutants clustered on SARS-CoV nsp1 surface and suggested nsp1 interacts with distinct host factors to exert its inhibitory activities. Identification of the nsp1 residues critical for its activities and the pathways involved in these activities should help in the design of drugs targeting nsp1. Significantly, several point mutants increased the inhibitory activity of nsp1, suggesting that coronaviruses could evolve a greater ability to evade the host response through mutations of such residues.","Identification of residues of SARS-CoV nsp1 that differentially affect inhibition of gene expression and antiviral signaling.","US",1,"CC BY","CC BY","http://journals.plos.org/plosone/s/content-license","1932-6203","Public Library of Science (PLoS)","EN","PLoS ONE","2016-06-15T02:22:21",,1,
,2019,"11","8","8","717","776bf01467154d0f8e24de0ccd4b6e8a",1669320865548861440,"2020-02-04T16:08:13","1999-4915","eissn","MERS coronavirus","QR1-502","LCC","Microbiology","Ahmed Kandeil","pdf","fulltext","https://www.mdpi.com/1999-4915/11/8/717","Dromedary camels are the natural reservoirs of the Middle East respiratory syndrome coronavirus (MERS-CoV). Camels are mostly bred in East African countries then exported into Africa and Middle East for consumption. To understand the distribution of MERS-CoV among camels in North Africa and the Middle East, we conducted surveillance in Egypt, Senegal, Tunisia, Uganda, Jordan, Saudi Arabia, and Iraq. We also performed longitudinal studies of three camel herds in Egypt and Jordan to elucidate MERS-CoV infection and transmission. Between 2016 and 2018, a total of 4027 nasal swabs and 3267 serum samples were collected from all countries. Real- time PCR revealed that MERS-CoV RNA was detected in nasal swab samples from Egypt, Senegal, Tunisia, and Saudi Arabia. Microneutralization assay showed that antibodies were detected in all countries. Positive PCR samples were partially sequenced, and a phylogenetic tree was built. The tree suggested that all sequences are of clade C and sequences from camels in Egypt formed a separate group from previously published sequences. Longitudinal studies showed high seroprevalence in adult camels. These results indicate the widespread distribution of the virus in camels. A systematic active surveillance and longitudinal studies for MERS-CoV are needed to understand the epidemiology of the disease and dynamics of viral infection.","Middle East Respiratory Syndrome Coronavirus (MERS-CoV) in Dromedary Camels in Africa and Middle East","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/viruses/about","1999-4915","MDPI AG","EN","Viruses","2019-08-06T07:16:45","Center of Scientific Excellence for Influenza Virus, Environmental Research Division, National Research Centre, Giza 12622, Egypt",1,
,2012,"7","9","0","e44876","e4547f91c97e4fc1a9c0678fa4f5a645",1669373552732667900,"2020-02-04T18:00:01","1932-6203","eissn",,"R","LCC","Medicine","Lin Xu",,"fulltext","http://europepmc.org/articles/PMC3439446?pdf=render","Human bocavirus (HBoV) is a novel parvovirus associated with respiratory tract diseases and gastrointestinal illness in adult and pediatric patients throughout the world. To investigate the epidemiological and genetic variation of HBoV in Guangzhou, South China, we screened 3460 throat swab samples from 1686 children and 1774 adults with acute respiratory infection symptoms for HBoV between March 2010 and February 2011, and analyzed the complete genome sequence of 2 HBoV strains. Specimens were screened for HBoV by real-time PCR and other 6 common respiratory viruses by RT-PCR or PCR. HBoV was detected in 58 (1.68%) out of 3460 samples, mostly from pediatric patients (52/58) and inpatient children (47/58). Six adult patients were detected as HBoV positive and 5 were emergency cases. Of these HBoV positive cases, 19 (32.76%) had co-pathogens including influenza virus (n = 5), RSV (n = 5), parainfluenza (n = 4), adenovirus (n = 1), coronavirus (n = 7). The complete genome sequences of 2 HBoVs strains (Genbank no. JN794565 and JN794566) were analyzed. Phylogenetic analysis showed that the 2 HBoV strains were HBoV1, and were most genetically close to ST2 (GenBank accession number DQ0000496). Recombination analysis confirmed that HBoV strain GZ9081 was an intra-genotype recombinant strain among HBoV1 variants.","Surveillance and genome analysis of human bocavirus in patients with respiratory infection in Guangzhou, China.","US",1,"CC BY","CC BY","http://journals.plos.org/plosone/s/content-license","1932-6203","Public Library of Science (PLoS)","EN","PLoS ONE","2016-06-14T21:38:06",,1,
"9",2017,"7","1","9","1","a556975d7cea4d9f95bc49acee6733b3",1669373171150618620,"2020-02-04T04:24:34","10.1038/s41598-017-10402-1","doi",,"R","LCC","Medicine","Ya-Min Yang","HTML","fulltext","http://link.springer.com/article/10.1038/s41598-017-10402-1","Abstract To date, 1841 cases of Middle East respiratory syndrome coronavirus (MERS-CoV) infection have been reported worldwide, with 652 deaths. We used a publically available case line list to explore the effect of relevant factors, notably underlying comorbidities, on fatal outcome of Middle East respiratory syndrome (MERS) cases up to the end of October 2016. A Bayesian Weibull proportional hazards regression model was used to assess the effect of comorbidity, age, epidemic period and sex on the fatality rate of MERS cases and its variation across countries. The crude fatality rate of MERS cases was 32.1% (95% credibility interval (CI): 29.9%, 34.3%). Notably, the incremental change of daily death rate was most prominent during the first week since disease onset with an average increase of 13%, but then stabilized in the remaining two weeks when it only increased 3% on average. Neither sex, nor country of infection were found to have a significant impact on fatality rates after taking into account the age and comorbidity status of patients. After adjusting for age, epidemic period, MERS patients with comorbidity had around 4 times the risk for fatal infection than those without (adjusted hazard ratio of 3.74 (95% CI: 2.57, 5.67)).","Impact of Comorbidity on Fatality Rate of Patients with Middle East Respiratory Syndrome","GB",1,"CC BY","CC BY","https://www.nature.com/srep/about/open-access","2045-2322","Nature Publishing Group","EN","Scientific Reports","2018-09-20T14:29:04","Division of Biostatistics, College of Public Health, National Taiwan University",1,
,2005,"6","1","1","8","3c6451552a09470aad59515004d32f06",1669373350822019070,"2020-02-04T02:21:00","10.1186/1465-9921-6-8","doi","Severe Acute Respiratory Syndrome","RC705-779","LCC","Diseases of the respiratory system","Zabel Peter",,"fulltext","http://respiratory-research.com/content/6/1/8","<p>Abstract</p> <p>Severe acute respiratory syndrome (SARS) is a new infectious disease caused by a novel coronavirus that leads to deleterious pulmonary pathological features. Due to its high morbidity and mortality and widespread occurrence, SARS has evolved as an important respiratory disease which may be encountered everywhere in the world. The virus was identified as the causative agent of SARS due to the efforts of a WHO-led laboratory network. The potential mutability of the SARS-CoV genome may lead to new SARS outbreaks and several regions of the viral genomes open reading frames have been identified which may contribute to the severe virulence of the virus. With regard to the pathogenesis of SARS, several mechanisms involving both direct effects on target cells and indirect effects via the immune system may exist. Vaccination would offer the most attractive approach to prevent new epidemics of SARS, but the development of vaccines is difficult due to missing data on the role of immune system-virus interactions and the potential mutability of the virus. Even in a situation of no new infections, SARS remains a major health hazard, as new epidemics may arise. Therefore, further experimental and clinical research is required to control the disease.</p> ","Molecular mechanisms of severe acute respiratory syndrome (SARS)","GB",1,"CC BY","CC BY","http://www.biomedcentral.com/getpublished/copyright-and-license","1465-9921","BMC","EN","Respiratory Research","2005-02-11T00:00:00",,1,
,2017,"9","11","10","312","310bd6951bae4709a86bc1c74f2721a6",1669371700254343170,"2020-02-04T09:28:59","1999-4915","eissn","Lactobacillus","QR1-502","LCC","Microbiology","Xiaona Wang","pdf","fulltext","https://www.mdpi.com/1999-4915/9/11/312","Porcine epidemic diarrhea virus (PEDV), an enteric coronavirus, is the causative agent of porcine epidemic diarrhea (PED) that damages intestinal epithelial cells and results in severe diarrhea and dehydration in neonatal suckling pigs with up to 100% mortality. The oral vaccine route is reported as a promising approach for inducing protective immunity against PEDV invasion. Furthermore, dendritic cells (DCs), professional antigen-presenting cells, link humoral and cellular immune responses for homeostasis of the intestinal immune environment. In this study, in order to explore an efficient oral vaccine against PEDV infection, a mucosal DC-targeting oral vaccine was developed using Lactobacillus casei to deliver the DC-targeting peptide (DCpep) fused with the PEDV core neutralizing epitope (COE) antigen. This probiotic vaccine could efficiently elicit secretory immunoglobulin A (SIgA)-based mucosal and immunoglobulin G (IgG)-based humoral immune responses via oral vaccination in vivo. Significant differences (p &lt; 0.05) in the immune response levels were observed between probiotics expressing the COE-DCpep fusion protein and COE antigen alone, suggesting better immune efficiency of the probiotics vaccine expressing the DC-targeting peptide fused with PEDV COE antigen. This mucosal DC-targeting oral vaccine delivery effectively enhances vaccine antigen delivery efficiency, providing a useful strategy to induce efficient immune responses against PEDV infection.","Oral Delivery of Probiotics Expressing Dendritic Cell-Targeting Peptide Fused with Porcine Epidemic Diarrhea Virus COE Antigen: A Promising Vaccine Strategy against PEDV","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/viruses/about","1999-4915","MDPI AG","EN","Viruses","2017-10-26T11:45:03","College of Veterinary Medicine, Northeast Agricultural University, Harbin 150030, China",1,
,2020,"17","3165","05","3165","e1fafed016e941bba628a7f1c723ce84",1669375860959870980,"2020-05-02T23:00:20","10.3390/ijerph17093165","doi","COVID-19","R","LCC","Medicine","Cristina Mazza","text/html","fulltext","https://www.mdpi.com/1660-4601/17/9/3165","The uncontrolled spread of the coronavirus disease 2019 (COVID-19) has called for unprecedented measures, to the extent that the Italian government has imposed a quarantine on the entire country. Quarantine has a huge impact and can cause considerable psychological strain. The present study aims to establish the prevalence of psychiatric symptoms and identify risk and protective factors for psychological distress in the general population. An online survey was administered from 18–22 March 2020 to 2766 participants. Multivariate ordinal logistic regression models were constructed to examine the associations between sociodemographic variables; personality traits; depression, anxiety, and stress. Female gender, negative affect, and detachment were associated with higher levels of depression, anxiety, and stress. Having an acquaintance infected was associated with increased levels of both depression and stress, whereas a history of stressful situations and medical problems was associated with higher levels of depression and anxiety. Finally, those with a family member infected and young person who had to work outside their domicile presented higher levels of anxiety and stress, respectively. This epidemiological picture is an important benchmark for identifying persons at greater risk of suffering from psychological distress and the results are useful for tailoring psychological interventions targeting the post-traumatic nature of the distress.","A Nationwide Survey of Psychological Distress among Italian People during the COVID-19 Pandemic: Immediate Psychological Responses and Associated Factors","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/ijerph/about","1660-4601","MDPI AG","EN","International Journal of Environmental Research and Public Health","2020-05-03T00:00:14","Department of Neuroscience, Imaging and Clinical Sciences, University “G.d’Annunzio”, 61100 Chieti-Pescara, Italy",1,
"293",2020,"95",,"06","288","800e3d9d258145518bcc19146913f232",1669375622467551230,"2020-05-07T04:17:49","1201-9712","pissn","Coronavirus","RC109-216","LCC","Infectious and parasitic diseases","Biao Tang",,"fulltext","http://www.sciencedirect.com/science/article/pii/S1201971220301375","Objectives: Since January 23rd 2020, stringent measures for controlling the novel coronavirus epidemics have been gradually enforced and strengthened in mainland China. The detection and diagnosis have been improved as well. However, the daily reported cases staying in a high level make the epidemics trend prediction difficult. Methods: Since the traditional SEIR model does not evaluate the effectiveness of control strategies, a novel model in line with the current epidemics process and control measures was proposed, utilizing multisource datasets including cumulative number of reported, death, quarantined and suspected cases. Results: Results show that the trend of the epidemics mainly depends on quarantined and suspected cases. The predicted cumulative numbers of quarantined and suspected cases nearly reached static states and their inflection points have already been achieved, with the epidemics peak coming soon. The estimated effective reproduction numbers using model-free and model-based methods are decreasing, as well as new infections, while new reported cases are increasing. Most infected cases have been quarantined or put in suspected class, which has been ignored in existing models. Conclusions: The uncertainty analyses reveal that the epidemics is still uncertain and it is important to continue enhancing the quarantine and isolation strategy and improving the detection rate in mainland China.","The effectiveness of quarantine and isolation determine the trend of the COVID-19 epidemics in the final phase of the current outbreak in China","NL",1,"CC BY-NC-ND","CC BY-NC-ND","http://www.elsevier.com/journals/international-journal-of-infectious-diseases/1201-9712/open-access-journal","1201-9712","Elsevier","EN","International Journal of Infectious Diseases","2020-05-07T05:17:49","The Interdisplinary Research Center for Mathematics and Life Sciences, Xi'an Jiaotong University, Xi'an, 710049, People’s Republic of China; Laboratory for Industrial and Applied Mathematics, Department of Mathematics and Statistics, York University, Toronto, Ontario, M3J 1P3, Canada",,
,2020,"12","402","04","402","d09e6efa11b24f6b9a5a26d4afe54f1a",1669375157633810430,"2020-04-14T12:02:06","10.3390/v12040402","doi","enterocytes","QR1-502","LCC","Microbiology","Tingting Cui","text/html","fulltext","https://www.mdpi.com/1999-4915/12/4/402","Porcine epidemic diarrhea virus (PEDV) and transmissible gastroenteritis virus (TGEV) have been reported to use aminopeptidase N (APN) as a cellular receptor. Recently, the role of APN as a receptor for PEDV has been questioned. In our study, the role of APN in PEDV and TGEV infections was studied in primary porcine enterocytes. After seven days of cultivation, 89% of enterocytes presented microvilli and showed a two- to five-fold higher susceptibility to PEDV and TGEV. A significant increase of PEDV and TGEV infection was correlated with a higher expression of APN, which was indicative that APN plays an important role in porcine coronavirus infections. However, PEDV and TGEV infected both APN positive and negative enterocytes. PEDV and TGEV Miller showed a higher infectivity in APN positive cells than in APN negative cells. In contrast, TGEV Purdue replicated better in APN negative cells. These results show that an additional receptor exists, different from APN for porcine coronaviruses. Subsequently, treatment of enterocytes with neuraminidase (NA) had no effect on infection efficiency of TGEV, implying that terminal cellular sialic acids (SAs) are no receptor determinants for TGEV. Treatment of TGEV with NA significantly enhanced the infection which shows that TGEV is masked by SAs.","Role of Porcine Aminopeptidase N and Sialic Acids in Porcine Coronavirus Infections in Primary Porcine Enterocytes","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/viruses/about","1999-4915","MDPI AG","EN","Viruses","2020-04-14T13:01:57","Laboratory of Virology, Faculty of Veterinary Medicine, Ghent University, Salisburylaan 133, B-9820 Merelbeke, Belgium",1,
