,ArticleId,Text
64,PMC7180667,as an immediate priority  finding a solution for the new coronavirus  sars cov 2  pandemic is on the agenda of scientists of the world  herein  we summarize all the suggested global solutions proposed by scientists and physicians so far to stop this dangerous virus  also  the important molecular targets for hitting the killer virus are highlighted
65,PMC7122166,this chapter is a short information about the most virulent and pathogenic agents  geographic area and severity of disease  the most dangerous microbes for humans are those that are easily transmitted  virulent and invasive to central organs like the blood and lung  robust survivors in the environment  have a low infection dose and are without any specific treatment or vaccine  most of them are zoonoses transmitted from animals and often with insects as vectors  the most dangerous microbes cause a very high mortality  are identified as high risk agents or  biohazard level 4  agents and are treated at the highest level of infection protection with strict isolation measures  dangerous microbes occur as a problem mostly in countries with low hygiene standards high population density and in tropical subtropical areas  infection control must always be based on hygienic measures and strict infection protection
66,PMC7147500,new evidence on the t cell immuno pathology in patient s with corona virus disease 2019  covid 19  was reported by diao et al  in medrxiv  doi  10 1101 2020 02 18 20024364
67,PMC7196891,the current outbreak of sars cov 2 has and continues to put huge pressure on intensive care units  icus  worldwide  many patients with covid 19 require some form of respiratory support and often have prolonged icu stays  which results in a critical shortage of icu beds  it is therefore not always physically possible to treat all the patients who require intensive care  raising major ethical dilemmas related to which patients should benefit from the limited resources and which should not  here we consider some of the approaches to the acute shortages seen during this and other epidemics  including some guidelines for triaging icu admissions and treatments
68,PMC7279248,the covid 19 global pandemic is caused by sars cov 2  and represents an urgent medical and social issue  unfortunately  there is still not a single proven effective drug available  and therefore  current therapeutic guidelines recommend supportive care including oxygen administration and treatment with antibiotics  recently  patients have been also treated with off label therapies which comprise antiretrovirals  anti inflammatory compounds  antiparasitic agents and plasma from convalescent patients  all with controversial results  the ubiquitin proteasome system  ups  is important for the maintenance of cellular homeostasis  and plays a pivotal role in viral replication processes  in this review  we discuss several aspects of the ups and the effects of its inhibition with particular regard to the life cycle of the coronaviruses  covs   in fact  proteasome inhibition by various chemical compounds  such as mg132  epoxomycin and bortezomib  may reduce the virus entry into the eucariotic cell  the synthesis of rna  and the subsequent protein expression necessary for covs  importantly  since ups inhibitors reduce the cytokine storm associated with various inflammatory conditions  it is reasonable to assume that they might be repurposed for sars cov 2  thus providing an additional tool to counteract both virus replication as well as its most deleterious consequences triggered by abnormal immunological response
69,PMC7204673,the current covid 19 pandemic is posing an unprecedented threat to global well being and its mental health consequences are just becoming understood  while the crisis has led to a temporary halt in a lot of ongoing or planned psychiatric research  this pandemic is a natural experiment that can help the field to repurpose research to better understand the causes  presentations and outcome trajectories as well as treatments in psychiatry  inter disciplinary collaborations between researchers are needed to rapidly develop and share the emerging new knowledge of the mental health implications of covid 19  this will help mount an effective response to the current as well as future pandemics
70,PMC7267883,with great apprehension  the world is now watching the birth of a novel pandemic already causing tremendous suffering  death  and disruption of normal life  uncertainty and dread are exacerbated by the belief that what we are experiencing is new and mysterious  however  deadly pandemics and disease emergences are not new phenomena  they have been challenging human existence throughout recorded history  some have killed sizeable percentages of humanity  but humans have always searched for  and often found  ways of mitigating their deadly effects  we here review the ancient and modern histories of such diseases  discuss factors associated with their emergences  and attempt to identify lessons that will help us meet the current challenge  with great apprehension  the world is now watching the birth of a novel pandemic already causing tremendous suffering  death  and disruption of normal life  uncertainty and dread are exacerbated by the belief that what we are experiencing is new and mysterious  however  deadly pandemics and disease emergences are not new phenomena  they have been challenging human existence throughout recorded history  some have killed sizeable percentages of humanity  but humans have always searched for  and often found  ways of mitigating their deadly effects
71,PMC7141890,with the rapid spread of severe acute respiratory syndrome coronavirus 2  sars cov 2  that results in coronavirus disease 2019  covid 19   corporate entities  federal  state  county  and city governments  universities  school districts  places of worship  prisons  health care facilities  assisted living organizations  daycares  homeowners  and other building owners and occupants have an opportunity to reduce the potential for transmission through built environment  be  mediated pathways  over the last decade  substantial research into the presence  abundance  diversity  function  and transmission of microbes in the be has taken place and revealed common pathogen exchange pathways and mechanisms  in this paper  we synthesize this microbiology of the be research and the known information about sars cov 2 to provide actionable and achievable guidance to be decision makers  building operators  and all indoor occupants attempting to minimize infectious disease transmission through environmentally mediated pathways  we believe this information is useful to corporate and public administrators and individuals responsible for building operations and environmental services in their decision making process about the degree and duration of social distancing measures during viral epidemics and pandemics  with the rapid spread of severe acute respiratory syndrome coronavirus 2  sars cov 2  that results in coronavirus disease 2019  covid 19   corporate entities  federal  state  county  and city governments  universities  school districts  places of worship  prisons  health care facilities  assisted living organizations  daycares  homeowners  and other building owners and occupants have an opportunity to reduce the potential for transmission through built environment  be  mediated pathways  over the last decade  substantial research into the presence  abundance  diversity  function  and transmission of microbes in the be has taken place and revealed common pathogen exchange pathways and mechanisms
72,PMC7091034,influenza continues to baffle humans by its constantly changing nature  the twenty first century has witnessed considerable advances in the understanding of the influenza viral pathogenesis  its synergy with bacterial infections and diagnostic methods  however  challenges continue  to find a less expensive and more reliable point of care test for use in developing countries  to produce more efficacious antiviral drugs  to explore ways to combat emerging antiviral resistance and to develop vaccines that can either be produced in a shorter production time or can overcome the need for annual matching with the circulating influenza strains  most importantly for india  as a nation that suffered the highest mortality in the influenza pandemic 1918  there is an urgent need to gear up our existing preparedness for the next pandemic which is capable to hit at any moment in time
73,PMC7190837,infectious bronchitis virus  ibv  control is mainly based on wide vaccine administration  although effective  its efficacy is not absolute  the viral circulation is not prevented and some side effects cannot be denied  despite this  the determinants of ibv epidemiology and the factors affecting its circulation are still largely unknown and poorly investigated  in the present study  361 ibv qx  the most relevant field genotype in italy  sequences were obtained between 2012 and 2016 from the two main italian integrated poultry companies  several biostatistical and bioinformatics approaches were used to reconstruct the history of the qx genotype in italy and to assess the effect of different environmental  climatic and social factors on its spreading patterns  moreover  two structured coalescent models were considered in order to investigate if an actual compartmentalization occurs between the two integrated poultry companies and the role of a third  ghost  deme  representative of minor industrial poultry companies and the rural sector  the obtained results suggest that the integration of the poultry companies is an effective barrier against ibv spreading  since the strains sampled from the two companies formed two essentially independent clades  remarkably  the only exceptions were represented by farms located in the high densely populated poultry area of northern italy  the inclusion of a third deme in the model revealed the likely role of other poultry companies and rural farms  particularly concentrated in northern italy  as sources of strain introduction into one of the major poultry companies  whose farms are mainly located in the high densely populated poultry area of northern italy  accordingly  when the effect of different environmental and urban parameters on ibv geographic spreading was investigated  no factor seems to contribute to ibv dispersal velocity  being poultry population density the only exception  finally  the different viral population pattern observed in the two companies over the same time period supports the pivotal role of management and control strategies on ibv epidemiology  overall  the present study results stress the crucial relevance of human action rather than environmental factors  highlighting the direct benefits that could derive from improved management and organization of the poultry sector on a larger scale
74,PMC7119994,mathematical tools have been widely applied in understanding the dynamics and control of viral infections  here we present some fundamental aspects of infection dynamics  starting with acute immunising infections as a case study for herd immunity and other important factors in the spread and control of infection  we then discuss the dynamics of infections with more complex life histories  including chronic infections  and those showing evolution for immune escape  we conclude with a discussion of important gaps in our current understanding of viral dynamics  along with future research needs
75,PMC7256510,the novel coronavirus disease  covid 19  pandemic  caused by severe acute respiratory syndrome coronavirus 2  sars cov 2   remains a global challenge  despite intense research efforts worldwide  an effective vaccine and viable treatment options have eluded investigators  therefore  infection prevention  early viral detection and identification of successful treatment protocols provide the best approach in controlling disease spread  in this review  current therapeutic options  preventive methods and transmission routes of covid 19 are discussed
76,PMC7121192,viruses serve as infectious agents for all living entities  there have been various research groups that focus on understanding the viruses in terms of their host viral relationships  pathogenesis and immune evasion  however  with the current advances in the field of science  now the research field has widened up at the  omics  level  apparently  generation of viral sequence data has been increasing  there are numerous bioinformatics tools available that not only aid in analysing such sequence data but also aid in deducing useful information that can be exploited in developing preventive and therapeutic measures  this chapter elaborates on bioinformatics tools that are specifically designed for animal viruses as well as other generic tools that can be exploited to study animal viruses  the chapter further provides information on the tools that can be used to study viral epidemiology  phylogenetic analysis  structural modelling of proteins  epitope recognition and open reading frame  orf  recognition and tools that enable to analyse host viral interactions  gene prediction in the viral genome  etc  various databases that organize information on animal and human viruses have also been described  the chapter will converse on overview of the current advances  online and downloadable tools and databases in the field of bioinformatics that will enable the researchers to study animal viruses at gene level
77,PMC7122085,the first documented cases of hiv aids in the united states bewildered physicians as they presented an unusual disease spectrum  two young men were diagnosed with
78,PMC7219790,dengue  a mosquito borne infectious disease caused by the dengue viruses  is present in many parts of the tropical and subtropical regions of the world  all four serotypes of dengue viruses are endemic in singapore  an equatorial city state  frequent outbreaks occur  sometimes leading to national epidemics  however  few studies have attempted to characterize breakpoints which precede large rises in dengue case counts  in this paper  bayesian regime switching  brs  models were employed to infer epidemic and endemic regimes of dengue transmissions  each containing regime specific autoregressive processes which drive the growth and decline of dengue cases  estimated using a custom built multi move gibbs sampling algorithm  posterior predictive checks indicate that brs replicates temporal trends in dengue transmissions well and nowcast accuracy assessed using a post hoc classification scheme showed that brs classification accuracy is robust even under limited data with the auc roc at 0 935  lasso based regression and bootstrapping was used to account for plausibly high dimensions of climatic factors affecting dengue transmissions  which was then estimated using cross validation to conduct statistical inference on long run climatic effects on the estimated regimes  brs estimates epidemic and endemic regimes of dengue in singapore which are characterized by persistence across time  lasting an average of 20 weeks and 66 weeks respectively  with a low probability of transitioning away from their regimes  climate analysis with lasso indicates that long run climatic effects up to 20 weeks ago do not differentiate epidemic and endemic regimes  lastly  by fitting brs to simulated disease data generated from a stochastic susceptible infected recovered model  mechanistic links between infectivity and regimes classified using brs were provided  the model proposed could be applied to other localities and diseases under minimal data requirements where transmission counts over time are collected  dengue  a mosquito borne infectious disease caused by the dengue viruses  is present in many parts of the tropical and subtropical regions of the world  all four serotypes of dengue viruses are endemic in singapore  an equatorial city state  frequent outbreaks occur  sometimes leading to national epidemics  however  few studies have attempted to characterize breakpoints which precede large rises in dengue case counts  in this paper  bayesian regime switching  brs  models were employed to infer epidemic and endemic regimes of dengue transmissions  each containing regime specific processes which drive the growth and decline of dengue cases  estimated using a custom built multi move gibbs sampling algorithm  assessments against various baseline showed that brs performs better in characterizing dengue transmissions  the dengue regimes estimated by brs are characterized by their persistent nature  next  climate analysis showed no short nor long term associations between classified regimes with climate  lastly  fitting brs to simulated disease data generated from a mechanistic model  we showed links between disease infectivity and regimes classified using brs  the model proposed could be applied to other localities and diseases under minimal data requirements where transmission counts over time are collected
79,PMC7122539,immunological methods have been used for viral diagnosis for more than 100 years  although molecular methods are replacing many older methods of viral diagnosis  there is still a significant role for immunological methods to guide patient care and in the performance of epidemiologic studies  identification of viral antigens in clinical samples can be accomplished rapidly through the use of point of care lateral immunoassays or through the use of more traditional immunofluorescence and enzyme immunoassays in the virology laboratory  serological assays are also a valuable tool for the clinician and epidemiologist  many of the available diagnostic assays have enzyme immunoassay formats  but functional assays such as hemagglutination inhibition and neutralizing antibody tests are also available  in some instances  virus infection can be diagnosed with a single serum sample  e g   hiv and hepatitis c virus infections  while in other instances paired sera are needed  e g   those caused by common respiratory viruses   point of care antibody assays are also available for testing blood and saliva samples for some viruses  an understanding of the principles of immunological detection methods is important in the application and interpretation of test results
80,PMC6763598,the flavivirus genus is composed by viral serocomplexes with relevant global epidemiological impact  many areas of the world present both  vector fauna and geographical conditions compatible with co circulation  importing  emergence  and epidemics of flaviviruses of different serocomplexes  in this study  we aimed to identify both  immunological determinants and patterns of immune response possibly involved in flavivirus serocomplex cross protection  we searched b and t cells epitopes which were thoroughly shown to be involved in flavivirus immunological control  such epitopes were analyzed regarding their conservation  population coverage  and location along flavivirus polyprotein  we found that epitopes capable of eliciting flavivirus cross protective immunity to a wide range of human populations are concentrated in proteins e  ns3  and ns5  such identification of both  immunological determinants and patterns of immune response involved in flavivirus cross protective immunity should be considered in future vaccine development  moreover  cross reactive epitopes presented in this work may be involved in dynamics of diseases caused by flaviviruses worldwide
81,PMC7273848,according to the findings available to date  not only do children and adolescents less frequently fall ill with covid 19  they also generally become less severely ill than do adults  the vast majority of infections in children and adolescents are asymptomatic or oligosymptomatic  even the first analyses from china demonstrated that children and adolescents play a subordinate role in the transmission of the virus   not only to other children and adolescents  but also to adults  taking into account regional infection rates and available resources  daycare centers  kindergartens and elementary schools promptly should be reopened  for children  this should be possible without excessive restrictions  such as clustering into very small groups  implementation of barrier precautions  maintaining appropriate distance from others or wearing masks  a factor more decisive than individual group size is the issue of sustaining the constancy of respective group members and the avoidance of intermixing  children can be taught basic rules of hygiene such as handwashing and careful hygiene behavior when coming into contact with others during mealtimes and or when using sanitary facilities  independent of the prevention measures implemented for children and adolescents  the protection of teachers  educators and caregivers is crucial   e g   the maintenance of appropriate distance from others  use of medical masks  situation dependent hand disinfection  when necessary  supported by regular pool testing   children over the age of 10 and adolescents up to school graduation age are more capable of actively understanding and conforming to specific hygiene rules  for this group  maintaining appropriate distance from others  1 5 meters   wearing a mouth and nose protection  whenever they are not sitting in their assigned classroom seats  and consistent education regarding the basic rules of infection prevention may provide increased options for normalizing teaching activities  children and adolescents suspected of infection with sars cov 2 should be tested immediately in order to either confirm or rule out such an infection  evidence of individual infections in children or students must not automatically lead to the closure of the entire daycare center or school  a detailed analysis of the chain of infection is a prerequisite for a balanced approach to infection control  the opening of schools and children s facilities should be accompanied by specifically structured  model surveillance studies that further clarify outstanding questions about infectious disease events and hygiene control  these prospective  concomitant examinations will be essential for the purpose of evaluating and verifying the effectiveness of the required hygiene measures  in the opinion of the medical societies of hygiene and pediatrics undersigning the present statement  the analyses published to date regarding transmission of sars cov 2 and the course of covid 19 show that children play a much less significant role in the spread of the virus than do adults
82,PMC7144510,a novel bat origin coronavirus emerged in wuhan  china in december 2019 and continues to spread across china and the world  at the time of writing  a massive global response has been implemented to control the disease as it spreads from person to person  yet the high risk human wildlife interactions and interfaces that led to the emergence of sars cov and of 2019 ncov continue to exist in emerging disease hotspots globally  to prevent the next epidemic and pandemic related to these interfaces  we call for research and investment in three areas  1  surveillance among wildlife to identify the high risk pathogens they carry  2  surveillance among people who have contact with wildlife to identify early spillover events  and 3  improvement of market biosecurity regarding the wildlife trade  as the emergence of a novel virus anywhere can impact the furthest reaches of our connected world  international collaboration among scientists is essential to address these risks and prevent the next pandemic
83,PMC7123557,the threat of emerging and re emerging infectious diseases to global population health remains significantly enormous  and the pandemic preparedness capabilities necessary to confront such threats must be of greater potency  artificial intelligence  ai  offers new hope in not only effectively pre empting  preventing and combating the threats of infectious disease epidemics  but also facilitating the understanding of health seeking behaviors and public emotions during epidemics  from a systems thinking perspective  and in today s world of seamless boundaries and global interconnectivity  ai offers enormous potential for public health practitioners and policy makers to revolutionize healthcare and population health through focussed  context specific interventions that promote cost savings on therapeutic care  expand access to health information and services  and enhance individual responsibility for their health and well being  this chapter systematically appraises the dawn of ai technology towards empowering population health to combat the rise of infectious disease epidemics
84,PMC7110270,human beings have experienced a serious public health event as the new pneumonia  covid 19   caused by the severe acute respiratory syndrome coronavirus has killed more than 3000 people in china  most of them elderly or people with underlying chronic diseases or immunosuppressed states  rapid assessment and early warning are essential for outbreak analysis in response to serious public health events  this paper reviews the current model analysis methods and conclusions from both micro and macro perspectives  the establishment of a comprehensive assessment model  and the use of model analysis prediction  is very efficient for the early warning of infectious diseases  this would significantly improve global surveillance capacity  particularly in developing regions  and improve basic training in infectious diseases and molecular epidemiology
85,PMC7057477,zika virus  zikv  is a newly emergent relative of the flaviviridae family and linked to dengue  denv  and chikungunya  chivkv   zikv is one of the rising pathogens promptly surpassing geographical borders  zikv infection was characterized by mild disease with fever  headache  rash  arthralgia and conjunctivitis  with exceptional reports of an association with guillain barre syndrome  gbs  and microcephaly  however  since the end of 2015  an increase in the number of gbs associated cases and an astonishing number of microcephaly in fetus and new borns in brazil have been related to zikv infection  raising serious worldwide public health concerns  zikv is transmitted by the bite of infected female mosquitoes of
86,PMC7279901,in december 2019  a novel coronavirus called sars cov 2 was reported to be responsible for a cluster of acute atypical respiratory pneumonia cases in wuhan  in hubei province  china  the disease caused by this virus is called covid 19  coronavirus disease 2019   the virus is transmitted between humans and the outbreak was declared a pandemic by the world health organization  who  on 11 march 2020  coagulopathy is a common abnormality in patients with covid 19 due to inflammation  hypoxia  immobilisation  endothelial damage and diffuse intravascular coagulation  however  the data on this topic are still limited  here we report the case of a man presenting with pneumonia complicated by bilateral pulmonary embolism
87,PMC6731519,rubella virus causes mild disease in children but for women in the early stages of pregnancy  it can cause spontaneous abortion  congenital rubella syndrome  crs  and associated birth defects  despite the availability of an effective vaccine  rubella virus continues to circulate endemically in several regions of the world  this is particularly true in east and southeast  e se  asia  where control efforts vary widely among countries that are well connected through travel and immigration  it is therefore important to understand how the regional persistence of rubella is affected both by dynamics occurring across countries and susceptibility within countries  here  we use genetic and epidemiological data from countries in e se asia to explore the phylogeography of rubella virus in this region  our results underline that metapopulation dynamics are key for rubella persistence and highlight the source sink population structure of the region  we identify countries that contribute to the regional metapopulation network and link epidemic dynamics to susceptibility profiles within each country  our results indicate that human movement plays an important role in driving epidemic dynamics in e se asia
88,PMC7121606,humanity is facing an increasing number of highly virulent and communicable diseases such as influenza  combating such global diseases requires in depth knowledge of their epidemiology  the only practical method for discovering global epidemiological knowledge and identifying prophylactic strategies is simulation  however  several interrelated factors  including increasing model complexity  stochastic nature of diseases  and short analysis timeframes render exhaustive analysis an infeasible task  an effective approach to alleviate the aforementioned issues and enable efficient epidemiological analysis is to manually steer bio simulations to scenarios of interest  selective steering preserves causality  inter dependencies  and stochastic characteristics in the model better than  seeding   i e   manually setting simulation state  accordingly  we have developed a novel eco modeling and bio simulation environment called searums  the bio simulation infrastructure of searums permits a human in the loop to steer the simulation to scenarios of interest so that epidemics can be effectively modeled and analyzed  this article discusses mathematical principles underlying searums along with its software architecture and design  in addition  the article also presents the bio simulations and multi faceted case studies conducted using searums to elucidate its ability to forecast timelines  epicenters  and socio economic impacts of epidemics  currently  the primary emphasis of searums is to ease global epidemiological analysis of avian influenza  however  the methodology is sufficiently generic and it can be adapted for other epidemiological analysis required to effectively combat various diseases
89,PMC7134984,in the twenty first century  severe acute respiratory syndrome  sars   2009 a h1n1  influenza  and ebola have all placed strains on critical care systems  in addition to the increased patient needs common to many disasters  epidemics may further degrade icu capability when staff members fall ill  including in the course of direct patient care  in a large scale pandemic  shortages of equipment and medications can further limit an icu s ability to provide the normal standard of care  hospital preparedness for epidemics must include strategies to maintain staff safety  secure adequate supplies  and have plans for triage and prioritization of care when necessary
90,PMC7236829,the median time from symptoms onset to viral rna shedding was 19 days  patients with chd comorbidity or decreased albumin levels experienced delays in clearance of sars cov 2 rna  since there is an increasing number of coronavirus disease 2019  covid 19  cases confirmed in multiple countries around the world  resulting in alarmingly high mortality and morbidity  1   the world health organization  who  has declared a global pandemic  2   to our knowledge  current research on covid 19 focuses on the epidemics  its clinical features and treatment  but not on viral rna shedding  here  we discuss covid 19 viral rna conversion time and the risk factors associated with viral rna shedding in a large patient cohort
91,PMC6862093,seasonal influenza epidemics occur each winter season in temperate zones  involving up to 650 000 deaths each year globally  a published study demonstrated that the circulation of one influenza virus type during early influenza season in the united states interferes with the activity of other influenza virus types  however  this finding has yet to be validated in other settings  in the present work  we investigated the interaction among seasonal influenza viruses  a h1n1  a h3n2 and b  in japan  sentinel and virus surveillance data were used to estimate the type specific incidence from 2010 to 2019  and statistical correlations among the type specific incidence were investigated  we identified significant negative correlations between incidence of the dominant virus and the complementary incidence  when correlation was identified during the course of an epidemic  a linear regression model accurately predicted the epidemic size of a particular virus type before the epidemic peak  the peak of influenza type b took place later in the season than that of influenza a  although the epidemic peaks of influenza a h1n1 and a h3n2 nearly coincided  given the interaction among different influenza viruses  underlying mechanisms including age and spatial dependence should be explored in future
92,PMC6856673,choosing the syndrome time series to monitor in a syndromic surveillance system is not a straight forward process  defining which syndromes to monitor in order to maximize detection performance has been recently identified as one of the research priorities in syndromic surveillance  estimating the minimum size of an epidemic that could potentially be detected in a specific syndrome could be used as a criteria for comparing the performance of different syndrome time series  and could provide some guidance for syndrome selection  the aim of our study was to estimate the potential value of different time series for building a national syndromic surveillance system for cattle in switzerland  simulations were used to produce outbreaks of different size and shape and to estimate the ability of each time series and aberration detection algorithm to detect them with high sensitivity  specificity and timeliness  two temporal aberration detection algorithms were also compared  holt winters generalized exponential smoothing  hw  and exponential weighted moving average  ewma   our results indicated that a specific aberration detection algorithm should be used for each time series  in addition  time series with high counts per unit of time had good overall detection performance  but poor detection performance for small epidemics making them of limited use for an early detection system  estimating the minimum size of simulated epidemics that could potentially be detected in syndrome ts event detection pairs can help surveillance system designers choosing the most appropriate syndrome ts to include in their early epidemic surveillance system
93,PMC7181975,the symptoms associated with covid 19 are mainly characterized by a triad composed of fever  dry cough and dyspnea  however  digestive symptoms have also been reported  at first considered as infrequent  they in fact seem to affect more than half of patients  the symptoms mainly include anorexia  diarrhea  nausea and or vomiting and abdominal pain  even though prognosis is associated with lung injury  digestive symptoms seem significantly more frequent in patients presenting with severe covid 19 infection  digestive presentations  which may be isolated or which can precede pulmonary symptoms  have indeed been reported  with diarrhea as a leading clinical sign  the main biological abnormalities that can suggest covid 19 infection at an early stage are lymphopenia  elevated crp and heightened asat transaminases  thoraco abdominal scan seems useful as a means of on the one hand ruling out digestive pathology not connected with coronavirus and on the other hand searching for pulmonary images consistent with covid 19 infection  no data exist on the value of digestive endoscopy in cases of persistent digestive symptoms  moreover  the endoscopists may themselves be at significant risk of contamination  fecal oral transmission of the infection is possible  especially insofar as viral shedding in stools seems frequent and of longer duration than at the ent level  including in patients with negative throat swab and without digestive symptoms  in some doubtful cases  virologic assessment of stool samples can yield definitive diagnosis  in the event of prolonged viral shedding in stools  a patient s persistent contagiousness is conceivable but not conclusively established  upcoming serology should enable identification of the patients having been infected by the covid 19 epidemic  particularly among previously undetected pauci symptomatic members of a health care staff  resumption of medico surgical activity should be the object of a dedicated strategy preceding deconfinement
94,PMC6624372,in developing countries  the waterborne transmission of hepatitis e virus  hev   caused by hev genotypes 1  hev 1  and 2  hev 2   leads to the onset of large recurrent outbreaks  hev infections are of particular concern among pregnant women  due to very high mortality rates  up to 70    unfortunately  good understanding of the factors that trigger the occurrence of hev epidemics is currently lacking  therefore  anticipating the onset of an outbreak is yet not possible  in order to map the geographical regions at higher risk of hev epidemics and the conditions most favorable for the transmission of the virus  we compiled a dataset of hev waterborne outbreaks and used it to obtain models of geographical suitability for hev across the planet  the main three variables that best predict the geographical distribution of hev outbreaks at global scale are population density  annual potential evapotranspiration and precipitation seasonality  at a regional scale  the temporal occurrence of hev outbreaks in the ganges watershed is negatively correlated with the discharge of the river  r    0 77   combined  our findings suggest that ultimately  population density and water balance are main parameters influencing the occurrence of hev 1 and hev 2 outbreaks  this study expands the current understanding of the combination of factors shaping the biogeography and seasonality of waterborne viral pathogens such as hev 1 and hev 2  and contributes to developing novel concepts for the prediction and control of human waterborne viruses in the near future
95,PMC7269927,a new coronavirus  cov  called sars cov 2 emerged in wuhan  china in december 2019 as the etiological agent of a viral pneumonia called covid 19  the global spread of sars cov 2 has been so extensive that the who declared covid 19 a pandemic on march 11  2020  below  we discuss the emergence of sars cov 2 and provide the historical context  which strongly suggests emerging covs provide an immediate threat to global public health and will continue to do so in the future
96,PMC7102595,in december 2019  a novel coronavirus  covid 19  pneumonia emerged in wuhan  china  since then  this highly contagious covid 19 has been spreading worldwide  with a rapid rise in the number of deaths  novel covid 19 infected pneumonia  ncip  is characterized by fever  fatigue  dry cough  and dyspnea  a variety of chest imaging features have been reported  similar to those found in other types of coronavirus syndromes  the purpose of the present review is to briefly discuss the known epidemiology and the imaging findings of coronavirus syndromes  with a focus on the reported imaging findings of ncip  moreover  the authors review precautions and safety measures for radiology department personnel to manage patients with known or suspected ncip  implementation of a robust plan in the radiology department is required to prevent further transmission of the virus to patients and department staff members
97,PMC7251554,northeastern nigeria has over the decade suffered from the boko haram insurgency and is still in the process of recovery from the complex humanitarian crisis that has displaced and subjected millions of vulnerable children  women and elderly population to poverty  disease outbreaks  hunger and malnutrition  yet  the conflict affected states in northeastern nigeria is not far away from being the worse hit by the covid 19 pandemic if urgent public health preventive measures are not taken to contain the spread of the deadly and highly infectious virus  the question arises   what is nigeria doing to tackle the burden of a covid 19 spread and an ongoing humanitarian crisis
98,PMC7195990,coronaviruses  covs  cause a broad spectrum of diseases in domestic and wild animals  poultry  and rodents  ranging from mild to severe enteric  respiratory  and systemic disease  and also cause the common cold or pneumonia in humans  seven coronavirus species are known to cause human infection  4 of which  hcov 229e  hcov nl63  hcov hku1 and hcov oc43  typically cause cold symptoms in immunocompetent individuals  the others namely sars cov  severe acute respiratory syndrome coronavirus   mers cov  middle east respiratory syndrome coronavirus  were zoonotic in origin and cause severe respiratory illness and fatalities  on 31 december 2019  the existence of patients with pneumonia of an unknown aetiology was reported to who by the national authorities in china  this virus was officially identified by the coronavirus study group as severe acute respiratory syndrome coronavirus 2  sars cov 2   and the present outbreak of a coronavirus associated acute respiratory disease was labelled coronavirus disease 19  covid 19   covid 19 s first cases were seen in turkey on march 10  2020 and was number 47 029 cases and 1006 deaths after 1 month  infections with sars cov 2 are now widespread  and as of 10 april 2020  1 727 602 cases have been confirmed in more than 210 countries  with 105 728 deaths
99,PMC7202944,protections for women and girls must be built into response plans
100,PMC7187803,global warming and the associated climate changes are predictable  they are enhanced by burning of fossil fuels and the emission of huge amounts of co
101,PMC7207156,a multi person interview on the unrolling corona pandemic with samuel alizon  akiko iwasaki  gerard krause and rino rappuoli
102,PMC7121366,infectious disease models are mathematical descriptions of the spread of infection  the majority of infectious disease models consider the spread of infection from one host to another and are sometimes grouped together as  mathematical epidemiology   a growing body of work considers the spread of infection within an individual  often with a particular focus on interactions between the infectious agent and the host s immune responses  such models are sometimes grouped together as  within host models   most recently  new models have been developed that consider host pathogen interactions at two levels simultaneously  both within host dynamics and between host transmissions  infectious disease models vary widely in their complexity  in their attempts to refer to data from real life infections and in their focus on problems of an applied or more fundamental nature  this entry will focus on simpler models tightly tied to data and aimed at addressing well defined practical problems
103,PMC7124071,non hepatotropic viruses cause acute hepatitis and or acute liver failure  without causing any chronic damage to the liver  these viruses do not primarily target the liver  these viruses include the herpes viruses  epstein barr virus  cytomegalovirus  and herpes simplex virus   parvovirus  adenovirus  influenza  and severe acute respiratory syndrome  sars  associated coronavirus  the risk of acquiring infection from any of the non hepatotropic viruses is specific to each virus  infection with the herpesviruses is ubiquitous  with clinically significant hepatitis being less common  considerations for determining the risk of hepatitis from non hepatotropic viruses include prior exposure  risk of reactivation   host immune status  increase severity in immunosuppressed   and duration of infection in the contact  diagnosis is made with a combination of serology  polymerase chain reaction  or liver biopsy  treatment is supportive in the majority  in certain clinical scenarios  such as cytomegalovirus infection in transplant patients  and acute liver failure from herpes simplex virus  specific antiviral therapy is warranted
104,PMC7212248,covid 19 pandemic has emerged as a global health emergency involving more than 200 countries so far  the number of affected population is on rising  so is the mortality  this crisis has overwhelmed the healthcare infrastructures in many affected countries  due to overall rising cancer incidence and specific concerns  a cohort of cancer patients forms a distinct subset of the population in whom a correct and timely treatment has a huge impact on the outcome  during this period  oncology care is definitely affected owing to many factors like lockdowns  reduced beds and deferral of elective cases to halt the spread of the pandemic  surgery remains the best line of defence in many solid organ tumours especially in early stage and is potentially curative  china  the source of this pandemic  has taken more than 3 months to enter the post transitional phase of this pandemic  deferring cancer surgeries for this long period may have a direct impact on the long term outcomes of cancer patients  many surgical oncology associations across the globe have come up with triage guidelines for surgical care of cancer patients  however  these are based on expert opinion rather than actual data  herein  we intend to review these guidelines with respect to the risk of disease progression in cancer patients  in the absence of actual data on cancer surgery care during this pandemic  clinical decisions should be based on careful consideration of disease related and patient related factors  while some of the cancer surgeries can be safely delayed for some time  how long we can delay surgeries safely cannot be answered  explained by any means  thorough evaluation and discussion by an expert and experienced multidisciplinary team appears to be the most effective way forward
